                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6865,                 2.4259,                 1.3848,                0.66744,                0.63954,                0.60828,                0.28401,                 1.4312,                 1.5625,                 1.2395,             0.00054625,             0.00054625,             0.00054625
                      2,                 1.4086,                 1.0749,                 1.1788,                0.76955,                0.65912,                 0.7158,                0.35405,                 1.4353,                  1.048,                 1.1966,              0.0010946,              0.0010946,              0.0010946
                      3,                 1.4071,                0.97201,                 1.1807,                0.69452,                0.67029,                0.68612,                0.32637,                 1.4501,                 1.0002,                 1.2937,              0.0016357,              0.0016357,              0.0016357
                      4,                 1.3763,                0.95959,                 1.1624,                0.57062,                0.71462,                0.62618,                0.34527,                  1.317,                 1.9998,                 1.1765,               0.001634,               0.001634,               0.001634
                      5,                 1.3669,                0.90354,                  1.145,                0.79309,                0.67027,                0.71639,                0.35808,                  1.337,                0.92717,                 1.1721,               0.001623,               0.001623,               0.001623
                      6,                 1.3258,                0.84378,                 1.1329,                0.76986,                0.88298,                0.83424,                0.42375,                 1.3156,                0.74415,                 1.1436,               0.001612,               0.001612,               0.001612
                      7,                 1.3318,                0.83163,                 1.1298,                0.74962,                0.78468,                0.80669,                0.38723,                 1.2753,                0.90052,                 1.1302,               0.001601,               0.001601,               0.001601
                      8,                 1.3328,                 0.8144,                 1.1384,                0.80129,                0.83639,                0.82452,                0.41438,                 1.2498,                0.77046,                 1.1044,                0.00159,                0.00159,                0.00159
                      9,                 1.2918,                 0.7699,                 1.1195,                0.85756,                0.84996,                0.88401,                0.43284,                 1.2705,                0.72953,                 1.1339,               0.001579,               0.001579,               0.001579
                     10,                  1.287,                 0.7677,                 1.1052,                0.86753,                0.80333,                 0.8308,                0.41596,                 1.2094,                0.72236,                 1.1142,               0.001568,               0.001568,               0.001568
                     11,                 1.2762,                0.75927,                  1.115,                0.80299,                0.85548,                0.85235,                0.43626,                 1.2277,                0.68987,                 1.1003,               0.001557,               0.001557,               0.001557
                     12,                 1.2565,                0.72116,                 1.1002,                0.84272,                0.85842,                0.89019,                0.45147,                 1.2506,                0.67955,                 1.1267,               0.001546,               0.001546,               0.001546
                     13,                 1.2531,                0.72207,                 1.1057,                0.77032,                 0.8237,                0.81658,                0.40968,                 1.2486,                0.67904,                 1.1227,               0.001535,               0.001535,               0.001535
                     14,                 1.2616,                 0.7129,                    1.1,                 0.8088,                0.90794,                0.88837,                0.43959,                 1.2673,                 0.6931,                 1.1502,               0.001524,               0.001524,               0.001524
                     15,                 1.2493,                0.70052,                 1.0953,                0.78319,                0.85146,                0.82535,                0.43313,                 1.1966,                0.64732,                 1.0886,               0.001513,               0.001513,               0.001513
                     16,                 1.2167,                0.68371,                 1.0848,                0.84551,                0.86012,                0.86145,                0.43968,                 1.2557,                0.71542,                 1.1269,               0.001502,               0.001502,               0.001502
                     17,                 1.2343,                0.68338,                  1.095,                 0.8205,                0.87961,                0.86688,                0.45079,                  1.215,                0.62527,                  1.095,               0.001491,               0.001491,               0.001491
                     18,                 1.2366,                0.68831,                 1.0938,                 0.9237,                0.88081,                  0.906,                0.44798,                 1.2327,                0.65548,                 1.1212,                0.00148,                0.00148,                0.00148
